review_id,emp_id,review_year,rating
1,1,2020,3.5
2,2,2020,4.0
3,3,2020,2.8
4,4,2020,4.5
5,5,2020,3.2
6,6,2020,4.7
7,7,2020,3.9
8,8,2020,2.5
9,9,2020,4.2
10,10,2020,3.0
11,11,2021,3.5
12,12,2021,4.0
13,13,2021,2.8
14,14,2021,4.5
15,15,2021,3.2
16,16,2021,4.7
17,17,2021,3.9
18,18,2021,2.5
19,19,2021,4.2
20,20,2021,3.0
21,21,2022,3.5
22,22,2022,4.0
23,23,2022,2.8
24,24,2022,4.5
25,25,2022,3.2
26,26,2022,4.7
27,27,2022,3.9
28,28,2022,2.5
29,29,2022,4.2
30,30,2022,3.0
31,31,2023,3.5
32,32,2023,4.0
33,33,2023,2.8
34,34,2023,4.5
35,35,2023,3.2
36,36,2023,4.7
37,37,2023,3.9
38,38,2023,2.5
39,39,2023,4.2
40,40,2023,3.0
41,41,2024,3.5
42,42,2024,4.0
43,43,2024,2.8
44,44,2024,4.5
45,45,2024,3.2
46,46,2024,4.7
47,47,2024,3.9
48,48,2024,2.5
49,49,2024,4.2
50,50,2024,3.0
51,51,2025,3.5
52,52,2025,4.0
53,53,2025,2.8
54,54,2025,4.5
55,55,2025,3.2
56,56,2025,4.7
57,57,2025,3.9
58,58,2025,2.5
59,59,2025,4.2
60,60,2025,3.0
61,61,2026,3.5
62,62,2026,4.0
63,63,2026,2.8
64,64,2026,4.5
65,65,2026,3.2
66,66,2026,4.7
67,67,2026,3.9
68,68,2026,2.5
69,69,2026,4.2
70,70,2026,3.0
71,71,2027,3.5
72,72,2027,4.0
73,73,2027,2.8
74,74,2027,4.5
75,75,2027,3.2
76,76,2027,4.7
77,77,2027,3.9
78,78,2027,2.5
79,79,2027,4.2
80,80,2027,3.0
81,81,2028,3.5
82,82,2028,4.0
83,83,2028,2.8
84,84,2028,4.5
85,85,2028,3.2
86,86,2028,4.7
87,87,2028,3.9
88,88,2028,2.5
89,89,2028,4.2
90,90,2028,3.0
91,91,2029,3.5
92,92,2029,4.0
93,93,2029,2.8
94,94,2029,4.5
95,95,2029,3.2
96,96,2029,4.7
97,97,2029,3.9
98,98,2029,2.5
99,99,2029,4.2
100,100,2029,3.0